specimen_id,position_id,x,y,density,specimen_true_mean
S001,1,0.2268514535642031,0.5513147690828912,470.461029883333,472.859234917486
S001,2,0.7194689697855631,0.42310646012446096,495.83233327235183,472.859234917486
S001,3,0.9807641983846155,0.6848297385848633,492.0728497933353,472.859234917486
S001,4,0.48093190148436094,0.3921175181941505,467.8485458263299,472.859234917486
S001,5,0.3431780161508694,0.7290497073840416,498.13308602295024,472.859234917486
S001,6,0.4385722446796244,0.05967789660956835,429.38432500492297,472.859234917486
S001,7,0.3980442553304314,0.7379954057320357,491.415752099149,472.859234917486
S001,8,0.18249173045349998,0.17545175614749253,439.4627198634153,472.859234917486
S001,9,0.5315513738418384,0.5318275870968661,487.50137699217663,472.859234917486
S001,10,0.6344009585513211,0.8494317940777896,492.03360794052975,472.859234917486
S001,11,0.7244553248606352,0.6110235106775829,507.32682679605955,472.859234917486
S001,12,0.7224433825702216,0.3229589138531782,481.40049743907326,472.859234917486
S001,13,0.3617886556223141,0.22826323087895561,441.5984018126719,472.859234917486
S001,14,0.29371404638882936,0.6309761238544878,487.28341218816956,472.859234917486
S001,15,0.09210493994507518,0.43370117267952824,460.8565985578704,472.859234917486
S002,1,0.19422296057877086,0.5724569574914731,479.0148527834537,480.6822821438202
S002,2,0.09571251661238711,0.8853268262751396,456.8984536331262,480.6822821438202
S002,3,0.6272489720512687,0.7234163581899548,505.2212209387935,480.6822821438202
S002,4,0.01612920669501683,0.5944318794450425,464.07959041214224,480.6822821438202
S002,5,0.5567851923942887,0.15895964414472274,499.21261929366557,480.6822821438202
S002,6,0.1530705151247731,0.6955295287709109,471.5766967784801,480.6822821438202
S002,7,0.31876642638187636,0.6919702955318197,484.1120193744111,480.6822821438202
S002,8,0.5543832497177721,0.3889505741231446,510.5841028856305,480.6822821438202
S002,9,0.9251324896139861,0.8416699969127163,489.34273564712225,480.6822821438202
S002,10,0.35739756668317624,0.04359146379904055,504.0005340352733,480.6822821438202
S002,11,0.30476807341109746,0.398185681917981,508.82998011981925,480.6822821438202
S002,12,0.7049588304513622,0.9953584820340174,491.4805116552012,480.6822821438202
S002,13,0.35591486571745956,0.7625478137854338,489.79309399009236,480.6822821438202
